timestamp,sensor1_x,sensor1_y,sensor1_z,sensor2_x,sensor2_y,sensor2_z,sensor3_x,sensor3_y,sensor3_z,ux,uy
1744752120.8869023,"-0.11,-0.14,-0.01,-0.06,-0.08,-0.02,3.25,165.14,-8.81,0.00,0.00"
1744752120.9100895,"-0.11,-0.10,0.00,-0.10,-0.06,0.01,3.21,165.15,-8.78,0.00,0.00"
1744752120.933104,"-0.15,-0.11,-0.02,-0.04,-0.06,-0.06,3.27,165.15,-8.85,0.00,0.00"
1744752120.9563217,"-0.10,-0.13,-0.02,-0.00,-0.11,0.00,3.31,165.11,-8.79,0.00,0.00"
1744752120.9785402,"-0.12,-0.13,-0.03,-0.02,-0.08,-0.03,3.29,165.13,-8.83,0.00,0.00"
1744752121.0015106,"-0.16,-0.12,-0.02,-0.02,-0.14,0.01,3.30,165.08,-8.79,0.00,0.00"
1744752121.0242398,"-0.09,-0.07,0.02,-0.03,-0.10,0.02,3.28,165.11,-8.77,0.00,0.00"
1744752121.0477486,"-0.14,-0.13,-0.02,-0.05,-0.06,-0.01,3.26,165.15,-8.80,0.00,0.00"
1744752121.070085,"-0.13,-0.16,-0.04,-0.04,-0.07,0.02,3.27,165.14,-8.77,0.00,0.00"
1744752121.0937867,"-0.09,-0.13,0.01,-0.05,-0.06,0.00,3.26,165.15,-8.79,0.00,0.00"
1744752121.1164546,"-0.11,-0.09,-0.01,-0.07,-0.11,0.04,3.24,165.10,-8.76,0.00,0.00"
1744752121.139159,"-0.10,-0.10,0.01,-0.07,-0.08,-0.02,3.24,165.13,-8.82,0.00,0.00"
1744752121.161191,"-0.07,-0.12,0.00,-0.05,-0.09,-0.01,3.26,165.12,-8.80,0.00,0.00"
1744752121.1841257,"-0.15,-0.10,-0.00,-0.09,-0.12,-0.01,3.22,165.09,-8.81,0.00,0.00"
1744752121.2082136,"-0.12,-0.15,-0.00,-0.03,-0.07,0.01,3.28,165.14,-8.78,0.00,0.00"
1744752121.2314556,"-0.12,-0.15,0.02,-0.13,-0.07,-0.04,3.18,165.14,-8.84,0.00,0.00"
1744752121.256025,"-0.06,-0.16,-0.03,-0.08,-0.04,-0.02,3.23,165.17,-8.81,0.00,0.00"
1744752121.2785895,"-0.08,-0.13,-0.03,-0.08,-0.09,-0.03,3.23,165.12,-8.83,0.00,0.00"
1744752121.3004856,"-0.10,-0.11,-0.00,-0.05,-0.11,0.01,3.26,165.11,-8.78,0.00,0.00"
1744752121.3239386,"-0.11,-0.13,-0.03,-0.04,-0.13,-0.05,3.27,165.08,-8.84,0.00,0.00"
1744752121.3473048,"-0.13,-0.13,-0.05,-0.06,-0.10,0.02,3.25,165.11,-8.78,0.00,0.00"
1744752121.3696501,"-0.13,-0.15,-0.01,-0.05,-0.08,-0.02,3.27,165.13,-8.82,0.00,0.00"
1744752121.3923085,"-0.14,-0.11,-0.02,-0.07,-0.12,-0.05,3.24,165.10,-8.85,0.00,0.00"
1744752121.4162734,"-0.09,-0.14,-0.02,-0.07,-0.13,-0.01,3.25,165.08,-8.81,0.00,0.00"
1744752121.439278,"-0.14,-0.12,0.01,-0.07,-0.08,-0.00,3.25,165.13,-8.80,0.00,0.00"
1744752121.461233,"-0.07,-0.16,0.01,-0.08,-0.07,0.01,3.23,165.14,-8.79,0.00,0.00"
1744752121.484907,"-0.13,-0.15,0.01,0.00,-0.06,0.00,3.31,165.15,-8.79,0.00,0.00"
1744752121.5085819,"-0.11,-0.11,-0.00,-0.06,-0.09,-0.01,3.25,165.12,-8.81,0.00,0.00"
1744752121.530262,"-0.12,-0.10,0.02,-0.08,-0.06,0.01,3.23,165.15,-8.79,0.00,0.00"
1744752121.5530012,"-0.16,-0.15,0.01,-0.05,-0.07,-0.02,3.26,165.14,-8.82,0.00,0.00"
1744752121.5759053,"-0.17,-0.10,-0.00,-0.05,-0.08,0.00,3.26,165.14,-8.79,0.00,0.00"
1744752121.5997741,"-0.11,-0.12,-0.04,-0.05,-0.07,-0.00,3.26,165.14,-8.80,0.00,0.00"
1744752121.622516,"-0.13,-0.09,-0.02,-0.04,-0.11,0.02,3.27,165.10,-8.78,0.00,0.00"
1744752121.6459785,"-0.09,-0.09,-0.01,-0.05,-0.09,0.02,3.26,165.13,-8.77,0.00,0.00"
1744752121.6693022,"-0.12,-0.14,-0.00,-0.07,-0.07,-0.02,3.24,165.14,-8.82,0.00,0.00"
1744752121.6922383,"-0.10,-0.10,-0.01,-0.06,-0.08,0.00,3.25,165.13,-8.79,0.00,0.00"
1744752121.7151954,"-0.14,-0.14,0.01,-0.09,-0.11,-0.00,3.22,165.10,-8.80,0.00,0.00"
1744752121.7376833,"-0.09,-0.13,0.03,-0.05,-0.07,-0.02,3.26,165.15,-8.81,0.00,0.00"
1744752121.761024,"-0.10,-0.12,-0.04,-0.04,-0.13,-0.06,3.27,165.08,-8.86,0.00,0.00"
1744752121.784075,"-0.11,-0.10,-0.05,-0.07,-0.10,-0.03,3.24,165.11,-8.83,0.00,0.00"
1744752121.8061404,"-0.11,-0.12,-0.02,-0.05,-0.12,-0.01,3.26,165.09,-8.81,0.00,0.00"
1744752121.829727,"-0.15,-0.09,-0.04,-0.11,-0.06,0.01,3.20,165.15,-8.78,0.00,0.00"
1744752121.852412,"-0.10,-0.16,-0.05,-0.04,-0.09,-0.01,3.27,165.12,-8.81,0.00,0.00"
1744752121.8758225,"-0.10,-0.10,0.02,-0.03,-0.10,-0.02,3.28,165.11,-8.82,0.00,0.00"
1744752121.899008,"-0.10,-0.08,-0.01,-0.06,-0.11,0.02,3.25,165.10,-8.77,0.00,0.00"
1744752121.9226003,"-0.12,-0.05,-0.02,-0.03,-0.10,-0.02,3.28,165.11,-8.82,0.00,0.00"
1744752121.9452567,"-0.11,-0.10,-0.04,-0.05,-0.12,0.01,3.26,165.09,-8.78,0.00,0.00"
1744752121.9684885,"-0.16,-0.05,-0.06,-0.05,-0.11,0.01,3.26,165.10,-8.78,0.00,0.00"
1744752121.9906871,"-0.13,-0.12,-0.01,-0.02,-0.13,-0.02,3.29,165.08,-8.81,0.00,0.00"
1744752122.014491,"-0.10,-0.10,-0.03,-0.07,-0.09,-0.06,3.24,165.12,-8.85,0.00,0.00"
1744752122.0368364,"-0.11,-0.13,-0.04,-0.08,-0.10,-0.04,3.23,165.11,-8.83,0.00,0.00"
1744752122.0591547,"-0.10,-0.09,-0.03,-0.05,-0.10,0.02,3.26,165.11,-8.78,0.00,0.00"
1744752122.0836706,"-0.08,-0.14,0.01,-0.09,-0.07,0.03,3.22,165.14,-8.76,0.00,0.00"
1744752122.1063504,"-0.11,-0.15,-0.01,-0.08,-0.09,-0.01,3.23,165.12,-8.81,0.00,0.00"
1744752122.1295774,"-0.11,-0.10,-0.00,-0.06,-0.02,-0.00,3.25,165.19,-8.80,0.00,0.00"
1744752122.1526084,"-0.12,-0.11,-0.02,-0.02,-0.11,-0.02,3.29,165.10,-8.82,0.00,0.00"
1744752122.1744397,"-0.13,-0.08,-0.01,-0.10,-0.10,-0.03,3.21,165.11,-8.82,0.00,0.00"
1744752122.1978302,"-0.12,-0.17,-0.04,-0.08,-0.06,-0.01,3.23,165.15,-8.81,0.00,0.00"
1744752122.2216103,"-0.09,-0.16,-0.01,-0.01,-0.07,0.04,3.30,165.14,-8.75,0.00,0.00"
1744752122.2449932,"-0.04,-0.18,-0.03,-0.03,-0.10,-0.02,3.28,165.11,-8.82,0.00,0.00"
1744752122.2674592,"-0.10,-0.13,-0.02,-0.02,-0.10,0.01,3.29,165.11,-8.79,0.00,0.00"
1744752122.2906387,"-0.16,-0.14,-0.02,-0.07,-0.08,-0.04,3.24,165.13,-8.84,0.00,0.00"
1744752122.3134062,"-0.10,-0.13,-0.05,-0.11,-0.08,-0.03,3.20,165.14,-8.83,0.00,0.00"
1744752122.3364828,"-0.13,-0.11,-0.02,-0.02,-0.05,0.02,3.29,165.16,-8.77,0.00,0.00"
1744752122.359323,"-0.12,-0.09,-0.02,-0.01,-0.13,-0.01,3.30,165.08,-8.81,0.00,0.00"
1744752122.3820617,"-0.18,-0.17,-0.02,-0.06,-0.11,-0.04,3.25,165.10,-8.84,0.00,0.00"
1744752122.4052565,"-0.13,-0.16,-0.03,-0.06,-0.10,0.02,3.26,165.12,-8.78,0.00,0.00"
1744752122.4278843,"-0.13,-0.12,-0.07,-0.08,-0.05,-0.02,3.23,165.16,-8.82,0.00,0.00"
1744752122.4514472,"-0.12,-0.15,0.02,-0.03,-0.10,0.04,3.28,165.12,-8.76,0.00,0.00"
1744752122.4739957,"-0.10,-0.07,0.01,-0.07,-0.08,-0.00,3.24,165.13,-8.80,0.00,0.00"
1744752122.4975207,"-0.11,-0.13,-0.01,-0.08,-0.10,0.07,3.23,165.11,-8.73,0.00,0.00"
1744752122.5205038,"-0.10,-0.11,-0.07,-0.02,-0.14,0.00,3.29,165.07,-8.79,0.00,0.00"
1744752122.54234,"-0.10,-0.11,-0.01,-0.05,-0.06,-0.01,3.26,165.15,-8.81,0.00,0.00"
1744752122.5658894,"-0.12,-0.14,-0.02,-0.01,-0.06,-0.03,3.30,165.15,-8.82,0.00,0.00"
1744752122.5887127,"-0.14,-0.16,-0.00,-0.11,-0.14,-0.01,3.20,165.08,-8.80,0.00,0.00"
1744752122.6117125,"-0.10,-0.13,-0.02,-0.07,-0.12,0.06,3.25,165.09,-8.74,0.00,0.00"
1744752122.6347117,"-0.12,-0.16,0.00,-0.04,-0.06,-0.04,3.27,165.15,-8.83,0.00,0.00"
1744752122.6577473,"-0.07,-0.13,0.03,-0.05,-0.11,-0.04,3.26,165.10,-8.83,0.00,0.00"
