timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
1742159332.5706675,0.0035703182220458984,-1.5758143864073695,-0.0004043630324304104,-3.1556865177550257,-1.5819323698626917,0.004968881607055664,0.09111624427746574,-0.12912104397653051,0.7301289658998894,0.007241747728898843,0.021963448093089113,1.5853276084751762
1742159332.5788374,0.0035858154296875,-1.5758077106871546,-0.00039185001514852047,-3.1556712589659632,-1.5819361845599573,0.004965293221175671,0.09110834568568824,-0.1291192204449107,0.7301320221106432,0.007211427450491195,0.02193944399067835,1.5853395430492936
1742159332.5868468,0.00356309418566525,-1.5758143864073695,-0.0004115104675292969,-3.155689855615133,-1.5819481054889124,0.004965293221175671,0.09111808816759494,-0.12911975467468584,0.7301280174452299,0.007237621333546339,0.021984004238580362,1.5853169159713347
1742159332.5946794,0.0035822391510009766,-1.575799127618307,-0.0004270267963875085,-3.1556745968260707,-1.581928555165426,0.0049533722922205925,0.09111510154475067,-0.1291204334986385,0.7301293737120972,0.0072409198740322235,0.02195696574992332,1.5853239921067994
1742159332.602839,0.003592967987060547,-1.575799127618307,-0.0004115176561754197,-3.1556745968260707,-1.5819323698626917,0.004980802536010742,0.0911112945368592,-0.12911901496656678,0.7301307556432053,0.007225900969875954,0.02194783702715117,1.5853621841972882
1742159332.6108415,0.003566741943359375,-1.575811048547262,-0.00041877315379679203,-3.1556865177550257,-1.581944767628805,0.0049724699929356575,0.0911186579634032,-0.12911983049878734,0.7301279673362382,0.007240776015594096,0.021981855112945984,1.5853277132589008
1742159332.6188378,0.003554821014404297,-1.5757924518980921,-0.0004115104675292969,-3.155689855615133,-1.5819361845599573,0.004968881607055664,0.09110435185442302,-0.12912201433390572,0.730130022214102,0.007229823558268599,0.021957389955768025,1.5853121745224525
1742159332.6268713,0.003573894500732422,-1.5758077106871546,-0.0004270267963875085,-3.1556745968260707,-1.5819323698626917,0.004987978842109442,0.0911189821525836,-0.1291207087667502,0.7301285901529087,0.00724518860613613,0.0219666144021836,1.5853502686068333
1742159332.6351662,0.0035858154296875,-1.5757838688292445,-0.0004115104675292969,-3.1556555233397425,-1.5819357077227991,0.004965293221175671,0.09109923003944795,-0.1291193143879993,0.7301338078220286,0.007196130358867989,0.021923394881147654,1.5853395495355878
1742159332.6429453,0.0035703254397958517,-1.5757700405516566,-0.0004079222562722862,-3.1556745968260707,-1.5819485823260706,0.004977142438292503,0.09109033110786426,-0.12911915295644738,0.7301336997018035,0.00718748421670114,0.021934789329663588,1.585336049109768
1742159332.6509378,0.0035667491611093283,-1.575780530969137,-0.0004151704197283834,-3.1556712589659632,-1.581963841115133,0.0049533722922205925,0.0910979365386945,-0.12911757806192392,0.7301323750083097,0.007186583901054359,0.021958041560680323,1.5853087963658081
1742159332.6589918,0.0035703182220458984,-1.5757771931090296,-0.0004115104675292969,-3.1556931934752406,-1.5819323698626917,0.004968881607055664,0.09109793956788009,-0.12912109606184075,0.7301311194834371,0.0072232438491767375,0.021945168927240567,1.5853276689165752
