Timestamp,X,Y,Z,Roll,Pitch
1744753535,-0.0251358,0.262766,0.152666,2.71457,0.161917
1744753535,-0.0188559,0.288126,0.150089,-3.06153,0.0640115
1744753535,-0.03329,0.295618,0.140153,-3.00565,0.0906937
1744753535,-0.03329,0.295618,0.140153,-3.00565,0.0906937
1744753535,-0.0178164,0.287115,0.147364,-3.06692,0.0642338
1744753535,-0.0171974,0.281665,0.140555,-3.10136,0.0686362
1744753535,-0.0171974,0.281665,0.140555,-3.10136,0.0686362
1744753535,-0.0163575,0.277622,0.139897,-3.09719,0.0646296
1744753535,-0.0166849,0.281125,0.142694,-3.08649,0.0679109
1744753535,-0.0166849,0.281125,0.142694,-3.08649,0.0679109
1744753535,-0.0179715,0.283613,0.143837,-3.0819,0.0676514
1744753535,-0.0145765,0.273007,0.13753,-3.10669,0.0630113
1744753535,-0.0145765,0.273007,0.13753,-3.10669,0.0630113
1744753535,-0.0183985,0.283602,0.146475,-3.07472,0.0684337
1744753535,-0.0192516,0.2864,0.151791,-3.04998,0.0638224
1744753535,-0.0192516,0.2864,0.151791,-3.04998,0.0638224
1744753535,-0.019128,0.283825,0.15109,-3.05467,0.0661361
1744753535,-0.00988228,0.274002,0.13801,-3.10806,0.0551921
1744753535,-0.00988228,0.274002,0.13801,-3.10806,0.0551921
1744753535,-0.0192049,0.27932,0.147688,-3.07237,0.0699056
1744753536,-0.0174045,0.288524,0.149175,-3.05901,0.0612671
1744753536,-0.0174045,0.288524,0.149175,-3.05901,0.0612671
1744753536,-0.0162183,0.278787,0.139016,-3.10155,0.0660095
1744753536,-0.0181441,0.284366,0.150192,-3.05731,0.0659036
1744753536,-0.0296174,0.292214,0.143044,-3.02783,0.080584
1744753536,-0.0296174,0.292214,0.143044,-3.02783,0.080584
1744753536,-0.0184057,0.288033,0.1512,-3.05006,0.0617118
1744753536,-0.0183202,0.286416,0.15046,-3.05582,0.0640584
1744753536,-0.0183202,0.286416,0.15046,-3.05582,0.0640584
1744753536,-0.0175522,0.291589,0.151002,-3.0498,0.0579364
1744753536,-0.0193489,0.281697,0.150883,-3.05051,0.0650311
1744753536,-0.0193489,0.281697,0.150883,-3.05051,0.0650311
1744753536,-0.0194512,0.285684,0.15194,-3.04866,0.0638584
1744753536,-0.0253136,0.29759,0.138673,-3.03809,0.082866
1744753536,-0.0253136,0.29759,0.138673,-3.03809,0.082866
1744753536,-0.0178237,0.282632,0.142122,-3.09119,0.0672093
1744753536,-0.0165415,0.280967,0.141687,-3.0838,0.0639889
1744753536,-0.0165415,0.280967,0.141687,-3.0838,0.0639889
1744753536,-0.026798,0.296324,0.14443,-3.02969,0.0801115
1744753536,-0.0181294,0.289343,0.150269,-3.05534,0.0604922
1744753536,-0.0181294,0.289343,0.150269,-3.05534,0.0604922
1744753536,-0.0213009,0.330347,0.125261,-2.62974,0.0960084
1744753536,-0.0187222,0.282423,0.150301,-3.05837,0.0676222
1744753536,-0.0187222,0.282423,0.150301,-3.05837,0.0676222
1744753536,-0.0198055,0.290536,0.150561,-3.06089,0.0621435
1744753536,-0.0177398,0.286526,0.146837,-3.06796,0.0645033
1744753536,-0.0184974,0.284491,0.143551,-3.0918,0.0693003
1744753536,-0.0184974,0.284491,0.143551,-3.0918,0.0693003
1744753536,-0.0184064,0.282921,0.151036,-3.04815,0.0652875
1744753536,-0.0192323,0.284104,0.15184,-3.04647,0.0644712
1744753536,-0.0192323,0.284104,0.15184,-3.04647,0.0644712
1744753536,-0.0191158,0.281947,0.151387,-3.04418,0.0642337
1744753536,-0.0182478,0.287003,0.15039,-3.05597,0.063333
1744753536,-0.0182478,0.287003,0.15039,-3.05597,0.063333
1744753536,-0.0189107,0.289158,0.149227,-3.06158,0.0616443
