Timestamp,X,Y,Z,Roll,Pitch,ux,uy
1744755287,-0.0387673,0.293967,0.136038,-2.95152,0.0885213,-130.77,-99.75
1744755287,-0.0398309,0.287884,0.141619,-2.99919,0.0833314,-117.93,-85.43
1744755287,-0.0398309,0.287884,0.141619,-2.99919,0.0833314,-117.93,-85.43
1744755287,-0.0176508,0.285443,0.14911,-3.05847,0.061014,-72.88,-102.24
1744755287,-0.0267299,0.279886,0.161712,-3.05676,0.0564357,-122.58,-154.19
1744755287,-0.0267299,0.279886,0.161712,-3.05676,0.0564357,-122.58,-154.19
1744755287,-0.02027,0.283098,0.148979,-3.06775,0.0617714,-80.04,-71.79
1744755287,-0.0191213,0.284885,0.148971,-3.06447,0.062008,-77.96,-87.35
1744755287,-0.0191213,0.284885,0.148971,-3.06447,0.062008,-77.96,-87.35
1744755287,-0.0245185,0.283823,0.157218,-3.06053,0.0514751,-100.74,-128.66
1744755287,-0.0247036,0.283228,0.157654,-3.05827,0.0541285,-96.37,-122.14
1744755287,-0.0247036,0.283228,0.157654,-3.05827,0.0541285,-96.37,-122.14
1744755287,-0.0172401,0.286097,0.149485,-3.05662,0.0598212,-73.69,-108.68
1744755287,-0.0172357,0.287239,0.150044,-3.05435,0.0592643,-72.82,-116.89
1744755287,-0.0172357,0.287239,0.150044,-3.05435,0.0592643,-72.82,-116.89
1744755287,-0.0171137,0.285745,0.149346,-3.05556,0.0599871,-71.76,-109.37
1744755287,-0.0149656,0.287589,0.151346,-3.03677,0.0569564,-58.59,-148.3
1744755287,-0.00917262,0.291346,0.147479,-3.04997,0.0521399,-69.03,-197.59
1744755287,-0.00917262,0.291346,0.147479,-3.04997,0.0521399,-69.03,-197.59
1744755287,-0.0147345,0.278725,0.146838,-3.05367,0.0634264,-24.63,-109.24
1744755287,-0.0180692,0.281233,0.145198,-3.06749,0.0634018,-59.75,-67.52
1744755287,-0.0180692,0.281233,0.145198,-3.06749,0.0634018,-59.75,-67.52
1744755287,-0.0233663,0.282715,0.152557,-3.06627,0.0576457,-90.58,-93.05
1744755287,-0.0121581,0.29032,0.149499,-3.05681,0.0490038,-85.42,-188.85
1744755287,-0.0121581,0.29032,0.149499,-3.05681,0.0490038,-85.42,-188.85
1744755287,-0.0149081,0.287041,0.151035,-3.0377,0.056845,-61.35,-144.33
1744755287,-0.0232873,0.283971,0.152322,-3.06432,0.0576265,-90.84,-99.78
1744755287,-0.0232873,0.283971,0.152322,-3.06432,0.0576265,-90.84,-99.78
1744755287,-0.0293639,0.277608,0.1605,-3.05977,0.0559907,-111.9,-120.45
1744755287,-0.0150503,0.279446,0.14968,-3.04201,0.0621498,-24.25,-128.37
1744755288,-0.0150503,0.279446,0.14968,-3.04201,0.0621498,-24.25,-128.37
1744755288,-0.0154738,0.289428,0.150927,-3.03931,0.0566383,-66.79,-150.12
1744755288,-0.0178527,0.284094,0.147717,-3.06306,0.0620228,-70.54,-85.7
1744755288,-0.0178527,0.284094,0.147717,-3.06306,0.0620228,-70.54,-85.7
1744755288,-0.0145776,0.280593,0.144244,-3.06578,0.0626805,-39.78,-82.19
1744755288,-0.0172072,0.289512,0.150393,-3.04971,0.0583193,-70.56,-130.7
1744755288,-0.0268097,0.278925,0.162243,-3.0535,0.0588062,-123.43,-162.42
1744755288,-0.0268097,0.278925,0.162243,-3.0535,0.0588062,-123.43,-162.42
